PseudoID,ReportID,Opened,Closed,Summary,Product,Reporter,Status,SecuritySeverity,Component,CVE,BroadType,IsExternal,IsStable,Language,IsExploited,FirstReported,FixedTimestamp
1368652,1368652,1496140304,1498649632,            GetDefaultOIDFormat: buffer overflow caused by long OIDs        ,Core,Fraser Tweedale,RESOLVED FIXED,High,Security: PSM,CVE-2017-7792,Memory buffer bounds error,1,1,"['C++', 'JS']",0,1496140304,1498649632
1220450,1220450,1446368328,1451696012,            global-buffer-overflow (write) at BufferSubData        ,Core,Aki Helin,VERIFIED FIXED,Critical,Graphics: CanvasWebGL,CVE-2016-1935,Memory buffer bounds error,1,1,['C++'],0,1446368328,1451696012
864002,864030,1366473149,1366474675,            Firefox 23.0a1 Crash Report [@ MarkInternal<JSObject> ]        ,Firefox,ced,RESOLVED DUPLICATE,Critical,JavaScript Engine,,,1,0,['C++'],0,1366455453,1366835452
848253,848253,1362557780,1368668297,            It's possible to set a document's URI to a different document's URI        ,Core,moz_bug_r_a4,VERIFIED FIXED,High,DOM: Navigation,CVE-2013-1709,Cross-site scripting,0,1,['C++'],0,1362557780,1368668297
1293523,1293521,1470711617,1470959439,            An Read Access Violation in xul!nsTextBoxFrame::CalculateTitleForWidth        ,Core,Mei Wang,RESOLVED DUPLICATE,Low,Graphics,,,1,0,,0,1470711617,-1
1349621,1349621,1490201860,1490403076,            Use of uninitialized memory [@ NS_GetFinalChannelURI]        ,Core,Tyson Smith,RESOLVED FIXED,Moderate,Networking,,,0,1,,0,1490201860,1490403076
768750,768750,1340763551,1351131775,"            ""Assertion failure: !JSID_IS_VOID(id)"" with XBL proto        ",Core,Jesse Ruderman,RESOLVED FIXED,Low,XBL,,,0,1,"['C++', 'HTML']",0,1340763551,1351131775
1325200,1325200,1482355555,1484266147,            lack of executable-code quota allows full bypass of ASLR and DEP        ,Core,Rh0,VERIFIED FIXED,Critical,JavaScript Engine: JIT,CVE-2017-5375,Memory buffer bounds error,1,1,['C++'],0,1482355555,1484266147
1102608,1102629,1416532182,1416586162,            Crash [@ FromExecutable] or Crash with glibc-abort with TypedObject        ,Core,Christian Holler,RESOLVED DUPLICATE,Critical,JavaScript Engine,,,0,0,,0,1416527997,1417708950
1424870,1424870,1513087813,1559583814,            Clickjacking screenshot taker leads to cross origin info disclosure        ,Firefox,Abdulrahman Alqabandi,RESOLVED FIXED,Moderate,Screenshots,,,1,0,,0,1513087813,1559583814
1204580,1204580,1442251304,1443818212,            Stagefright: crash [@stagefright::SampleTable::setCompositionTimeToSampleParams]        ,Core,Tyson Smith,RESOLVED FIXED,High,Audio/Video: Playback,,,0,1,['C++'],0,1442251304,1443818212
1596826,1610035,1579298739,1579754032,            Intermittent browser/base/content/test/plugins/browser_pluginCrashReportNonDeterminism.js | application terminated with exit code 1        ,Core,Treeherder Bug Filer,RESOLVED DUPLICATE,High,Widget: Cocoa,,,0,0,"['C++', 'css']",0,-1,1581607449
1095925,1095925,1415472595,1416451247,            SEGV in mozilla::layers::BufferTextureClient::AllocateForSurface        ,Core,Atte Kettunen,RESOLVED FIXED,Moderate,Graphics: Layers,CVE-2015-0824,Memory buffer bounds error,1,1,['C++'],0,1415472595,1416451247
1358200,1358200,1492709677,1493130212,            Hide Tooltip with Stylish crashes Firefox        ,Core,Patrick Albrecht,RESOLVED FIXED,Low,XUL,CVE-2017-7769,,1,0,['C++'],0,1492709677,1493130212
1012642,1012642,1400504258,1400673398,            Crash on Heap near [@ js::irregexp::ExecuteCode] with possible use-after-free        ,Core,Christian Holler,VERIFIED FIXED,Critical,JavaScript Engine,,,0,0,['C++'],0,1400504258,1400673398
1333752,1333752,1485350829,1485406017,            Incorrect size for memset in VCMRttFilter::Reset() and libvpx        ,Core,Julian Seward,RESOLVED FIXED,Low,WebRTC: Audio/Video,,,0,1,['C++'],0,1485350829,1485406017
1461619,1461619,1526379973,1528138110,            Updating atom mark bits can race with object group sweeping        ,Core,Jon Coppeard,RESOLVED FIXED,Moderate,JavaScript: GC,,,0,1,['C++'],0,1526379973,1528138110
862709,862709,1366189349,1367885235,            crash in mozilla::BufferMediaResource::Read        ,Core,Scoobidiver,RESOLVED FIXED,Critical,Audio/Video,,,0,0,,0,1366189349,1367885235
1306266,1306266,1475151248,1475896265,            Write automated test for tab-switching using window.open (or external links?) while print preview opens up (bug 1301876)        ,Core,:Gijs,RESOLVED FIXED,,Print Preview,,,0,0,['JS'],0,1475151248,1475896265
861473,861473,1365831759,1367947781,            WebVTT Heap Buffer Overflow [mozilla::dom::Element::UnbindFromTree]        ,Core,Raymond Forbes,VERIFIED FIXED,High,Audio/Video,,,0,0,,0,1365831759,1367947781
1255474,1291802,1470247417,1470813465,            PAC FindProxyForUrl function can be used to obtain full HTTPS URLs in combination with WPAD        ,Core,moz-nuc,RESOLVED DUPLICATE,Moderate,Networking,,Exposure of sensitive information,1,1,"['C++', 'JS']",0,1457629416,1474454921
821760,821760,1355505500,1355607442,            Static operations called via Xrays end up with compartment mismatches        ,Core,Boris Zbarsky,RESOLVED FIXED,Critical,DOM: Core & HTML,,,0,0,['Python'],0,1355505500,1355607442
1199578,1199578,1440748249,1441719890,"            Assertion failure: AnyTypedArrayLength(source) <= target->length() - offset, at vm/TypedArrayCommon.h        ",Core,Gary Kwong,VERIFIED FIXED,High,JavaScript Engine,,,0,0,['JS'],0,1440748249,1441719890
773097,734921,1331572834,1344519196,            Startup Crash @ _moz_cairo_destroy        ,Core,Marcia Knous,RESOLVED DUPLICATE,High,Graphics,,,0,1,['C++'],0,1331572834,1344740370
767234,767234,1340327707,1340467705,            Write barrier on generator slots can be invoked when they contain garbage        ,Core,Bill McCloskey,RESOLVED FIXED,High,JavaScript Engine,,,0,0,"['C++', 'JS']",0,1337771695,1340467705
1356387,1356230,1492089706,1492184576,"            Crash in Abort | IPDL error [PVRManagerChild]: ""Error deserializing 'VRHMDSensorState'"". abort... | mozalloc_abort | NS_DebugBreak | mozilla::ipc::FatalError | mozilla::dom::ContentChild::FatalErrorIfNotUsingGPUProcess | mozilla::gfx::PVRManagerChild::...        ",Core,Marcia Knous,RESOLVED DUPLICATE,Moderate,WebVR,,,0,0,['C++'],0,1492089706,1492504375
1372467,1372467,1497328189,1500686075,            [Libfuzzer] Heap-buffer-overflow in sdp_parse_attr_fmtp        ,Core,Nils Ohlmeier,RESOLVED FIXED,High,WebRTC: Signaling,,,0,0,['C'],0,1497328189,1500686075
1338328,1338328,1486678719,1488903111,            Bug 860857 added some untested codepaths that trigger assertions and memory-corruption crashes when exercised        ,Core,Boris Zbarsky,RESOLVED FIXED,,DOM: Core & HTML,,,0,0,"['C++', 'HTML']",0,1486678719,1488903111
1469472,1469505,1529398547,1529684034,            Crash in mozilla::FrameLayerBuilder::RemoveFrameFromLayerManager        ,Core,Calixte Denizet,RESOLVED DUPLICATE,High,Web Painting,,,0,0,"['C++', 'HTML']",0,1529379929,1529544373
1308859,1308859,1476090553,1477494088,            Crash in mozilla::dom::CanvasRenderingContext2D::NeedToApplyFilter        ,Core,Philipp,RESOLVED FIXED,High,Graphics,,,0,0,['C++'],0,1476090553,1477494088
875748,875789,1369408680,1369425267,"            Assertion failure: allocKind <= size_t(FINALIZE_LIMIT), at gc/Heap.h:456 or Crash [@ fetchNextFreeArena]        ",Core,Christian Holler,RESOLVED DUPLICATE,High,JavaScript Engine,,,0,0,['C++'],0,1369401665,1369541899
1075546,1075598,1412177368,1412823081,"            Intermittent browser_markupview_anonymous_02.js | application crashed [@ js::NewObjectCache::fill(int, js::Class const*, js::gc::Cell*, js::gc::AllocKind, JSObject*)]  | Assertion failure: entry_ == makeIndex(clasp, key, kind), at /builds/slave/m-in-lx-d-        ",Core,Carsten Book,RESOLVED DUPLICATE,High,JavaScript: GC,,,0,1,"['C++', 'JS']",0,1412172388,1412777857
1596826,1610038,1579299319,1579344193,            Intermittent devtools/client/responsive/test/browser/browser_menu_item_01.js | application crashed [@ objc_msgSend + 0x1d]        ,Core,Treeherder Bug Filer,RESOLVED DUPLICATE,High,Widget: Cocoa,,,0,0,"['C++', 'css']",0,-1,1581607449
793658,793658,1348487845,1352760142,            http://www.htmlfivewow.com makes Firefox crash        ,Core,Sonny Piers,RESOLVED WORKSFORME,Critical,SVG,,,1,0,,0,1348487845,-1
1017154,1017154,1401302119,1401716176,            Fix RegExpShared read barriers (again)        ,Core,Brian Hackett,RESOLVED FIXED,High,JavaScript Engine,,,0,0,['C++'],0,1401302119,1401716176
1392105,1392105,1503251974,1504048607,"            Crash [@ js::jit::AssemblerBuffer<1024, js::jit::Instruction>::getInst] or Assertion failure: data >> 28 != 0xf (The instruction does not have condition code), at jit/arm/Assembler-arm.h:1996        ",Core,Christian Holler,RESOLVED FIXED,High,JavaScript Engine,,,0,1,"['C++', 'JS']",0,1503251974,1504048607
1464039,1432067,1516571774,1530162851,            heap-buffer-overflow in qcms with mAB tag type        ,Core,u473386,RESOLVED DUPLICATE,Low,Graphics: Color Management,,Memory buffer bounds error,1,1,"['C++', 'C']",0,1516571774,1529169032
935228,935228,1383689033,1386439769,            JSD.pause and unPause can attempt to toggle debug traps on non-debug mode Baseline scripts        ,Core,Shu-yu Guo,RESOLVED FIXED,Moderate,JavaScript Engine: JIT,,,0,0,,0,1383689033,1386439769
1028358,1028358,1403292195,1403625656,            We are not firing any post-barriers on Heap<T> for JSFunction*        ,Core,Terrence Cole,RESOLVED FIXED,High,JavaScript: GC,,,0,1,['C++'],0,1403292195,1403625656
1378113,1378113,1499171666,1500641619,            heap-use-after-free in mozilla::layers::ClientLayerManager::DidComposite        ,Core,Nils,RESOLVED FIXED,High,Graphics: Layers,CVE-2017-7806,Expired pointer dereference,1,1,['C++'],0,1499171666,1500641619
1145443,1146058,1426984181,1427217683,            Heap-buffer-overflow in mozilla::image::Downscaler::CommitRow        ,Core,Abhishek Arya,RESOLVED DUPLICATE,Critical,Graphics: ImageLib,,,1,0,,0,1426810563,1427219413
1591334,1591334,1571986744,1572905847,            heap-use-after-free in SetOnstorage        ,Core,Nils,RESOLVED FIXED,Moderate,Privacy: Anti-Tracking,,,1,1,['C++'],0,1571986744,1572905847
1511412,1511412,1543598887,1543650135,            AddressSanitizer: heap-use-after-free [@ js::jit::CacheIRStubInfo::makesGCCalls] with READ of size 3        ,Core,Christian Holler,RESOLVED FIXED,High,JavaScript Engine,,,0,0,"['C++', 'JS']",0,-1,1543650135
1736611,1736611,1634659568,1637741810,            startup Crash in [@ mozilla::net::SocketProcessHost::InitAfterConnect]        ,Core,Sebastian Hengst,RESOLVED FIXED,High,IPC,,,0,0,,0,-1,1637741810
1752100,1752100,1643187112,1643648338,            Crash in [@ nsJSPrincipals::AddRef ]  nsJSPrincipals accessed from off-thread        ,Core,Kershaw Chang,RESOLVED FIXED,Moderate,Networking: WebSockets,,,0,1,,0,1643187112,1643648338
1711084,1711340,1621113708,1621289403,            Firefox exposes installed applications on windows through :// schemes to websites        ,Firefox,non7top,RESOLVED DUPLICATE,Low,Privacy: Anti-Tracking,,,1,0,,0,1620925489,-1
834526,834526,1359075970,1359077341,"            IPC Channel uses debug-only check for number of FDs in a single message, could overwrite stack        ",Core,Ben Turner,RESOLVED FIXED,Critical,IPC,,,0,1,['C++'],0,1359075970,1359077341
949475,949475,1386861024,1387074461,            Add extra debug checks for MIR return values        ,Core,Jan de Mooij,RESOLVED FIXED,,JavaScript Engine: JIT,,,0,0,['C++'],0,1386861024,1387074461
936056,936056,1383845375,1389112813,            Inconsistent this value when invoking getters on window        ,Core,Boris Zbarsky,VERIFIED FIXED,High,JavaScript Engine: JIT,CVE-2014-1481,"Permissions, privileges, access controls",0,1,"['C++', 'HTML']",0,1383845375,1389112813
1224362,1224362,1447367706,1581612496,            [meta] Fuzzing: libvpx        ,Core,Tyson Smith,RESOLVED FIXED,,Audio/Video: Playback,fuzzing-libvpx,,0,0,,0,1447367706,1581612496
1533957,1538976,1553550364,1557167451,            Intermittent /service-workers/service-worker/clients-get.https.html | application crashed [@ nsWindowWatcher::OpenWindowInterna ...        ,Core,Treeherder Bug Filer,RESOLVED DUPLICATE,Moderate,Networking,,,0,1,"['C++', 'JS']",0,-1,1570638150
